#
#"Frequency / THz"	"Total RCS [pw] [Magnitude / nm^2]"
#-----------------------------------------------------
491.00000000000	124832.98016262
492.00000000000	124360.42851998
493.00000000000	123724.49681499
494.00000000000	122942.30206970
495.00000000000	122031.74031364
496.00000000000	121011.05206022
497.00000000000	119898.37929545
498.00000000000	118711.39397234
499.00000000000	117466.98678693
500.00000000000	116180.88837692
501.00000000000	114867.52137277
502.00000000000	113539.82452949
503.00000000000	112209.18129763
504.00000000000	110885.36873760
505.00000000000	109576.59646659
506.00000000000	108289.66463969
507.00000000000	107029.84646142
508.00000000000	105801.23726858
509.00000000000	104606.85708715
510.00000000000	103448.82195034
511.00000000000	102328.51343454
512.00000000000	101246.73369052
513.00000000000	100203.96255510
514.00000000000	99200.169899832
515.00000000000	98235.207247789
516.00000000000	97308.800611532
517.00000000000	96420.594356170
518.00000000000	95570.179858327
519.00000000000	94757.119129689
520.00000000000	93981.057687170
521.00000000000	93241.342398622
522.00000000000	92537.362168757
523.00000000000	91868.418274519
524.00000000000	91233.706468186
525.00000000000	90632.297664092
526.00000000000	90063.139571243
527.00000000000	89525.211620544
528.00000000000	89017.099202169
529.00000000000	88537.439482616
530.00000000000	88084.810412766
531.00000000000	87657.761013212
532.00000000000	87254.975060214
533.00000000000	86874.765522575
534.00000000000	86516.074039043
535.00000000000	86177.462080829
536.00000000000	85857.744823088
537.00000000000	85555.827129420
538.00000000000	85270.718515506
539.00000000000	85001.510999460
540.00000000000	84747.373122730
541.00000000000	84507.704554054
542.00000000000	84281.592112202
543.00000000000	84068.308434549
544.00000000000	83867.117310384
545.00000000000	83677.266209072
546.00000000000	83497.972920753
547.00000000000	83328.425369390
548.00000000000	83167.968211438
549.00000000000	83015.553044007
550.00000000000	82870.302836838
551.00000000000	82731.350549326
552.00000000000	82597.843378431
553.00000000000	82468.959679335
554.00000000000	82343.931868853
555.00000000000	82222.236377437
556.00000000000	82103.015573381
557.00000000000	81985.655127890
558.00000000000	81869.574530123
559.00000000000	81754.206414670
560.00000000000	81638.989228163
561.00000000000	81523.327738543
562.00000000000	81406.774685668
563.00000000000	81288.416625907
564.00000000000	81167.441452852
565.00000000000	81042.944861829
566.00000000000	80913.907599524
567.00000000000	80779.231363095
568.00000000000	80637.733650871
569.00000000000	80488.384894074
570.00000000000	80329.745211733
571.00000000000	80160.595189211
572.00000000000	79979.778242893
573.00000000000	79786.235708354
574.00000000000	79579.041095350
575.00000000000	79357.406667357
576.00000000000	79120.903991580
577.00000000000	78868.858975428
578.00000000000	78600.920638562
579.00000000000	78316.813421151
580.00000000000	78016.296901298
581.00000000000	77699.099059527
582.00000000000	77364.844049055
583.00000000000	77013.175901711
584.00000000000	76643.135600198
585.00000000000	76253.680422151
586.00000000000	75843.465175165
587.00000000000	75410.853164901
588.00000000000	74953.939849243
589.00000000000	74470.621714936
590.00000000000	73958.862497921
591.00000000000	73416.318848239
592.00000000000	72841.009969829
593.00000000000	72231.312181298
594.00000000000	71586.157529093
595.00000000000	70905.196188012
596.00000000000	70188.974584962
597.00000000000	69439.200888373
598.00000000000	68658.411914019
599.00000000000	67850.438117120
600.00000000000	67020.242466993
601.00000000000	66173.809640114
602.00000000000	65317.984588754
603.00000000000	64460.229646941
604.00000000000	63608.430466089
605.00000000000	62770.189013754
606.00000000000	61952.793380808
607.00000000000	61162.674724583
608.00000000000	60405.000657608
609.00000000000	59683.277359680
610.00000000000	58999.034405387
611.00000000000	58351.618624047
612.00000000000	57737.784722060
613.00000000000	57151.887207722
614.00000000000	56585.856484072
615.00000000000	56029.370903340
616.00000000000	55470.177076535
617.00000000000	54894.502543570
618.00000000000	54287.639070577
619.00000000000	53634.390431374
620.00000000000	52919.905966552
621.00000000000	52130.301592984
622.00000000000	51253.350484862
623.00000000000	50279.097727721
624.00000000000	49200.432215027
625.00000000000	48013.546075835
626.00000000000	46718.191724137
627.00000000000	45317.932277329
628.00000000000	43820.104483513
629.00000000000	42235.660369430
630.00000000000	40578.847167141
631.00000000000	38866.724654569
632.00000000000	37118.565832678
633.00000000000	35355.132834532
634.00000000000	33597.956184544
635.00000000000	31868.517452437
636.00000000000	30187.462951609
637.00000000000	28573.872279687
638.00000000000	27044.601049907
639.00000000000	25613.744834921
640.00000000000	24292.225978899
641.00000000000	23087.585903350
642.00000000000	22003.879676837
643.00000000000	21041.764508495
644.00000000000	20198.729047136
645.00000000000	19469.464183730
646.00000000000	18846.336827999
647.00000000000	18319.949663915
648.00000000000	17879.755989214
649.00000000000	17514.664095144
650.00000000000	17213.629265890
651.00000000000	16966.190933396
652.00000000000	16762.925951611
653.00000000000	16595.802509730
654.00000000000	16458.415259598
655.00000000000	16346.106421007
656.00000000000	16255.956278291
657.00000000000	16186.671273470
658.00000000000	16138.371929843
659.00000000000	16112.309607958
660.00000000000	16110.540088297
661.00000000000	16135.572294127
662.00000000000	16190.021023787
663.00000000000	16276.288632395
664.00000000000	16396.295991711
665.00000000000	16551.283050751
666.00000000000	16741.668291949
667.00000000000	16967.014962684
668.00000000000	17226.046890012
669.00000000000	17516.740470442
670.00000000000	17836.469354131
671.00000000000	18182.171647762
672.00000000000	18550.550075368
