#
#"Frequency / THz"	"Total ACS [pw] [Magnitude / nm^2]"
#-----------------------------------------------------
685.00000000000	18015.641834142
686.00000000000	18873.550111066
687.00000000000	19801.440472338
688.00000000000	20777.762641102
689.00000000000	21777.586999412
690.00000000000	22773.735972121
691.00000000000	23738.434546876
692.00000000000	24644.898637651
693.00000000000	25468.897260358
694.00000000000	26190.096429339
695.00000000000	26793.007203115
696.00000000000	27268.207810775
697.00000000000	27612.248701279
698.00000000000	27827.743184835
699.00000000000	27922.903514335
700.00000000000	27910.718293346
701.00000000000	27807.829621946
702.00000000000	27633.018372395
703.00000000000	27406.364021451
704.00000000000	27147.236205903
705.00000000000	26873.187149928
706.00000000000	26598.851543419
707.00000000000	26335.162059640
708.00000000000	26088.895906434
709.00000000000	25862.376729183
710.00000000000	25654.460614004
711.00000000000	25460.474176238
712.00000000000	25273.371355595
713.00000000000	25084.803364602
714.00000000000	24886.309831482
715.00000000000	24670.482720336
716.00000000000	24431.711502035
717.00000000000	24167.799826375
718.00000000000	23879.675121301
719.00000000000	23571.829968771
720.00000000000	23252.096549554
721.00000000000	22931.094751195
722.00000000000	22621.348006003
723.00000000000	22335.910125409
724.00000000000	22087.900632949
725.00000000000	21888.444205325
726.00000000000	21745.701364717
727.00000000000	21663.902325710
728.00000000000	21642.646516735
729.00000000000	21676.550597803
730.00000000000	21755.099780351
731.00000000000	21864.031453718
732.00000000000	21985.441056424
733.00000000000	22099.333271609
734.00000000000	22185.187135355
735.00000000000	22223.631938788
736.00000000000	22198.111896084
737.00000000000	22096.054545639
738.00000000000	21911.154506831
739.00000000000	21643.193342148
740.00000000000	21298.722950630
741.00000000000	20890.883251878
742.00000000000	20438.655756619
743.00000000000	19965.658862385
744.00000000000	19498.102153380
745.00000000000	19063.870149737
746.00000000000	18689.311095378
747.00000000000	18397.560804314
748.00000000000	18206.529271261
749.00000000000	18127.388996054
750.00000000000	18163.471691148
