#
#"Frequency / THz"	"Total RCS [pw] [Magnitude / nm^2]"
#-----------------------------------------------------
638.00000000000	27106.794280898
639.00000000000	26464.702961317
640.00000000000	25885.598187464
641.00000000000	25371.326156068
642.00000000000	24924.897724400
643.00000000000	24550.215686747
644.00000000000	24251.853475654
645.00000000000	24034.822649122
646.00000000000	23904.403265573
647.00000000000	23865.989365693
648.00000000000	23924.893924995
649.00000000000	24086.181489034
650.00000000000	24354.437470501
651.00000000000	24733.543157276
652.00000000000	25226.402785043
653.00000000000	25834.695560605
654.00000000000	26558.595691628
655.00000000000	27396.552503953
656.00000000000	28345.114998864
657.00000000000	29398.812254190
658.00000000000	30550.150370714
659.00000000000	31789.664684476
660.00000000000	33106.090373325
661.00000000000	34486.608353285
662.00000000000	35917.168623548
663.00000000000	37382.857505978
664.00000000000	38868.336930612
665.00000000000	40358.250372908
666.00000000000	41837.691516878
667.00000000000	43292.565581861
668.00000000000	44710.007158518
669.00000000000	46078.643062546
670.00000000000	47388.865583486
671.00000000000	48632.993240488
672.00000000000	49805.387072048
673.00000000000	50902.452461114
674.00000000000	51922.564714652
675.00000000000	52866.005393432
676.00000000000	53734.683127666
677.00000000000	54531.887654463
678.00000000000	55261.987074122
679.00000000000	55930.081253764
680.00000000000	56541.659386729
681.00000000000	57102.194545216
682.00000000000	57617.011937562
683.00000000000	58090.871383615
684.00000000000	58527.838558714
685.00000000000	58931.193571305
686.00000000000	59303.436868768
687.00000000000	59646.350660984
688.00000000000	59961.085613769
689.00000000000	60248.602566339
690.00000000000	60509.652477578
691.00000000000	60745.098867991
692.00000000000	60956.099772539
693.00000000000	61144.232463306
694.00000000000	61311.565000550
695.00000000000	61460.498359898
696.00000000000	61593.948357675
697.00000000000	61714.854305212
698.00000000000	61826.019961768
699.00000000000	61929.866798392
700.00000000000	62028.180014956
701.00000000000	62121.936554577
702.00000000000	62211.082068867
703.00000000000	62294.917070979
704.00000000000	62371.831949174
705.00000000000	62439.673623887
706.00000000000	62496.020934923
707.00000000000	62538.547157345
708.00000000000	62565.339197152
709.00000000000	62575.041896168
710.00000000000	62567.486712618
711.00000000000	62543.282392382
712.00000000000	62503.905053097
713.00000000000	62451.435338960
714.00000000000	62388.227045771
715.00000000000	62316.446674887
716.00000000000	62237.492788027
717.00000000000	62152.021868867
718.00000000000	62059.182190496
719.00000000000	61956.624293112
720.00000000000	61840.528992035
721.00000000000	61705.900993295
722.00000000000	61547.012954752
723.00000000000	61357.882619843
724.00000000000	61133.432643799
725.00000000000	60869.750530992
726.00000000000	60564.912064336
727.00000000000	60219.426413954
728.00000000000	59836.500505765
729.00000000000	59421.957087466
730.00000000000	58983.742549308
731.00000000000	58531.732505035
732.00000000000	58076.399249520
733.00000000000	57627.980018557
734.00000000000	57195.415273796
735.00000000000	56785.431154018
736.00000000000	56401.776150766
737.00000000000	56044.605891028
738.00000000000	55710.920479583
739.00000000000	55394.309178042
740.00000000000	55085.783200827
741.00000000000	54774.714745709
742.00000000000	54449.883480951
743.00000000000	54100.674509998
744.00000000000	53717.960123913
745.00000000000	53295.468108819
746.00000000000	52829.835221785
747.00000000000	52320.928813175
748.00000000000	51771.672702043
749.00000000000	51187.476646247
750.00000000000	50575.429664155
