#
#"Frequency / THz"	"Total ACS [pw] [Magnitude / nm^2]"
#-----------------------------------------------------
498.00000000000	155.01784321629
499.00000000000	179.59689856050
500.00000000000	206.39739995726
501.00000000000	234.80436720699
502.00000000000	264.17252795155
503.00000000000	293.83382510689
504.00000000000	323.12341996838
505.00000000000	351.39528156942
506.00000000000	378.03715462469
507.00000000000	402.48926266041
508.00000000000	424.25489707596
509.00000000000	442.91587908145
510.00000000000	458.14328840341
511.00000000000	469.70476129213
512.00000000000	477.47151243509
513.00000000000	481.41797623972
514.00000000000	481.62605151751
515.00000000000	478.28103975391
516.00000000000	471.66444325867
517.00000000000	462.15065709434
518.00000000000	450.19485679733
519.00000000000	436.31945873441
520.00000000000	421.10559098426
521.00000000000	405.17055671485
522.00000000000	389.15780622114
523.00000000000	373.71652650924
524.00000000000	359.48825317314
525.00000000000	347.08849073621
526.00000000000	337.09043563011
527.00000000000	330.01050110581
528.00000000000	326.29688020163
529.00000000000	326.31145824587
530.00000000000	330.33017015617
531.00000000000	338.52832290935
532.00000000000	350.97912914412
533.00000000000	367.65001433039
534.00000000000	388.40802448037
535.00000000000	413.01408861154
536.00000000000	441.13701292835
537.00000000000	472.35856375256
538.00000000000	506.18717310607
539.00000000000	542.06526953317
540.00000000000	579.39012514214
541.00000000000	617.52665657599
542.00000000000	655.82014152993
543.00000000000	693.62086569944
544.00000000000	730.29626962631
545.00000000000	765.24953319064
546.00000000000	797.93687736836
547.00000000000	827.88457480937
548.00000000000	854.70123948259
549.00000000000	878.08057564670
550.00000000000	897.82328783977
551.00000000000	913.84222599611
552.00000000000	926.15847466389
553.00000000000	934.91271948398
554.00000000000	940.35887723129
555.00000000000	942.86495752800
556.00000000000	942.89328668070
557.00000000000	941.00110379191
558.00000000000	937.82995202409
559.00000000000	934.08503804286
560.00000000000	930.52529140421
561.00000000000	927.93986072561
562.00000000000	927.13617372970
563.00000000000	928.90910662507
564.00000000000	934.03085883911
565.00000000000	943.23221087205
566.00000000000	957.18123027375
567.00000000000	976.46391476440
568.00000000000	1001.5777423806
569.00000000000	1032.9135656523
570.00000000000	1070.7380636949
571.00000000000	1115.1962160469
572.00000000000	1166.3030467662
573.00000000000	1223.9451180156
574.00000000000	1287.8788410431
575.00000000000	1357.7418148792
